"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"Document handler for copier or printer","USD335682 (S)","1993-05-18","PENKE MARK S;  KALVITIS ROBERT E;  CLARK III WILLIAM T;  CHOW MARLAND;  GATES LEONARD V [GB];  MATSUBARA HIDEYUKI [JP];  SANAKA CHIKAKO [JP]","XEROX CORP","","","US19910785683F","19911031","US19910785683F 19911031","","","","","","","","","","","","","",""
"Copier with document handler and finisher","USD344973 (S)","1994-03-08","PENKE MARK S;  KALVITIS ROBERT E;  CLARK III WILLIAM T;  CHOW MARLAND;  GATES LEONARD V [GB];  MATSUBARA HIDEYUKI [JP];  SANAKA CHIKAKO [JP]","XEROX CORP","","","US19910785607F","19911031","US19910785607F 19911031","","","","","","","","","","","","","",""
"Method and system for processing fields in a document processor","US5552982 (A)","1996-09-03","JACKSON PETER C [US];  GATES III WILLIAM H [US];  LOOFBOURROW BRYAN [US]","MICROSOFT CORP [US]","G06F17/24; G06F17/22","G06F40/177","US19940205141","19940228","US19940205141 19940228; US19910694001 19910430; US19900607872 19901031","US4965763 (A); US5025396 (A); US5148366 (A)","","","","","","","","","","","","",""
"Integration of voice and data channels","US2003208358 (A1); US7106725 (B2)","2003-11-06","ANDAKER KRISTIAN L M [US];  GATES WILLIAM H [US];  MORRIS MAX G [US]","ANDAKER KRISTIAN L. M, ; GATES WILLIAM H, ; MORRIS MAX G, ; MICROSOFT CORPORATION","H04M7/00; H04M7/12; G10L21/00","H04M7/003; H04M7/1235; H04M7/128; H04M7/1295; H04M7/12","US20020138472","20020503","US20020138472 20020503","US2003041108 (A1); US6883015 (B1); US7032017 (B2); US6754711 (B1); US6910074 (B1); US6754711 (B1); US6883015 (B1); US6910074 (B1); US7032017 (B2); US2003041108 (A1)","","","","","","","","EP0869688 (A2)","","","","",""
"EMPLOYING CUSTOMER POINTS TO CONFIRM TRANSACTION","US2007179848 (A1)","2007-08-02","JAIN KAMAL [US];  GATES WILLIAM H III [US]","MICROSOFT CORP [US]","G06Q30/02","G06F16/951; G06Q30/02; G06Q30/0226; G06Q30/0239; G06Q30/0256; G06Q30/0263; G06Q30/0275; G06Q30/0277; H04L67/63","US20060419881","20060523","US20060764618P 20060202; US20060419881 20060523","US5774870 (A); US5937392 (A); US5960409 (A); US6078866 (A); US6129274 (A); US6178408 (B1); US6269361 (B1); US6298330 (B1); US2002013728 (A1); US6385592 (B1); US6401075 (B1); US2002099605 (A1); US2002107736 (A1); US2002169760 (A1); US2002198551 (A1); US6511377 (B1); US2003050831 (A1); US6594640 (B1); US2003200142 (A1); US6654725 (B1); US2004133471 (A1); US6785671 (B1); US6826572 (B2); US6876997 (B1); US2005097204 (A1); US6907566 (B1); US6965868 (B1); US2005256954 (A1); US2006026067 (A1); US2006085408 (A1); US7035812 (B2); US7039599 (B2); US7065500 (B2); US7110993 (B2); US2006253319 (A1)","","","","","","","","","","","","",""
"DESKTOP SEARCH FROM MOBILE DEVICE","US2008005057 (A1); US7873620 (B2)","2008-01-03","OZZIE RAYMOND E [US];  HORVITZ ERIC J [US];  GATES WILLIAM H [US];  GOODMAN JOSHUA T [US];  DUMAIS SUSAN T [US];  FLAKE GARY W [US];  GRIFFIN TRENHOLME J [US];  HUANG XUEDONG D [US];  HURST-HILLER OLIVER [US];  MEEK CHRISTOPHER A [US]","MICROSOFT CORP [US]","G06F17/30","G06F16/9574","US20060427763","20060629","US20060427763 20060629","US2004034803 (A1); US2003051101 (A1); US2005138143 (A1); US2003126232 (A1); US7072670 (B2); US7072886 (B2); US2007162502 (A1); US6098064 (A); US2003163646 (A1); US2007198485 (A1); US2006277271 (A1); US2006277308 (A1); US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); US5812865 (A); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002032689 (A1); US2002044152 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US6466232 (B1); US6513046 (B1); US2003046401 (A1); US6549915 (B2); US2003154476 (A1); US6747675 (B1); US6791580 (B1); US6801223 (B1); US6812937 (B1); US6842877 (B2); US2005034078 (A1); US6968333 (B2); US7072886 (B2); US2003126232 (A1); US2004034803 (A1); US2005138143 (A1); US2006277271 (A1); US2006277308 (A1); US2007162502 (A1); US2007198485 (A1)","","","","","","","","US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); US5812865 (A); US6098064 (A); US6385602 (B1); US6466232 (B1); US6513046 (B1); US6549915 (B2); US6742033 (B1); US6747675 (B1); US6791580 (B1); US6801223 (B1); US6812937 (B1); US6842877 (B2); US6968333 (B2); US7072670 (B2); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002032689 (A1); US2002044152 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US2003046401 (A1); US2003051101 (A1); US2003154476 (A1); US2004068724 (A1); US2004168121 (A1); US2005034078 (A1); US2005129042 (A1); WO9800787 (A1)","","","","",""
"TARGETED ADVERTISING IN BRICK-AND-MORTAR ESTABLISHMENTS","US2008004950 (A1); US8725567 (B2)","2008-01-03","HUANG XUEDONG D [US];  GATES WILLIAM H [US];  HORVITZ ERIC J [US];  GOODMAN JOSHUA T [US];  BRUNELL BRADLY A [US];  DUMAIS SUSAN T [US];  FLAKE GARY W [US];  GRIFFIN TRENHOLME J [US];  HURST-HILLER OLIVER [US]","MICROSOFT CORP [US]","G06Q30/00","G06Q30/02; G06Q30/0269; G06Q30/0271","US20060427761","20060629","US20060427761 20060629","US2007033113 (A1); US7010501 (B1); US2006074769 (A1); US2006168195 (A1); US2007192687 (A1); US2008215391 (A1); US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); US5812865 (A); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002032689 (A1); US2002044152 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US6466232 (B1); US6513046 (B1); US2003046401 (A1); US6549915 (B2); US2003154476 (A1); US6747675 (B1); US6791580 (B1); US6801223 (B1); US6812937 (B1); US6842877 (B2); US2005034078 (A1); US6968333 (B2); US7010501 (B1); US2006074769 (A1); US2006168195 (A1); US2007033113 (A1); US2007192687 (A1); US2008215391 (A1)","","","","","","","","US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); US5812865 (A); US6466232 (B1); US6513046 (B1); US6549915 (B2); US6747675 (B1); US6791580 (B1); US6801223 (B1); US6812937 (B1); US6842877 (B2); US6968333 (B2); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002032689 (A1); US2002044152 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US2003046401 (A1); US2003154476 (A1); US2004153373 (A1); US2004254835 (A1); US2005021397 (A1); US2005034078 (A1); WO9800787 (A1)","","","","",""
"ARCHITECTURE FOR USER- AND CONTEXT- SPECIFIC PREFETCHING AND CACHING OF INFORMATION ON PORTABLE DEVICES","US2008005695 (A1); US8626136 (B2)","2008-01-03","OZZIE RAYMOND E [US];  HORVITZ ERIC J [US];  GATES WILLIAM H [US];  GOODMAN JOSHUA T [US];  DUMAIS SUSAN T [US];  FLAKE GARY W [US];  GRIFFIN TRENHOLME J [US];  HUANG XUEDONG D [US];  HURST-HILLER OLIVER [US];  MEEK CHRISTOPHER A [US]","MICROSOFT CORP [US]","G06F3/048; H04W4/029; H04W4/18; H04W4/02","G06F16/9535; H04W4/029; H04W4/18; H04W4/02","US20060427755","20060629","US20060427755 20060629","US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); US5812865 (A); US6098064 (A); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002032689 (A1); US2002044152 (A1); US2002052930 (A1); US2002052963 (A1); US6385602 (B1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US6466232 (B1); US6513046 (B1); US2003046401 (A1); US2003051101 (A1); US6549915 (B2); US2003154476 (A1); US2004034803 (A1); US2004068724 (A1); US6742033 (B1); US6747675 (B1); US2004168121 (A1); US6791580 (B1); US6801223 (B1); US6812937 (B1); US6842877 (B2); US2005034078 (A1); US2005129042 (A1); US2005138143 (A1); US2005210024 (A1); US6968333 (B2); US2006135179 (A1); US7072670 (B2); US7072886 (B2); US2006277271 (A1); US2007055660 (A1); US2007060109 (A1); US2007162502 (A1); US2007184820 (A1); US2007198485 (A1); US6098064 (A); US6385602 (B1); US2003051101 (A1); US2004034803 (A1); US2004068724 (A1); US6742033 (B1); US2004168121 (A1); US2005129042 (A1); US2005138143 (A1); US2005210024 (A1); US2006135179 (A1); US7072670 (B2); US2006277271 (A1); US2007055660 (A1); US2007060109 (A1); US2007184820 (A1)","","","","","","","","US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); WO9800787 (A1); US5812865 (A); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002032689 (A1); US2002044152 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US6466232 (B1); US6513046 (B1); US2003046401 (A1); US6549915 (B2); US2003126232 (A1); US2003154476 (A1); US6747675 (B1); US6791580 (B1); US6801223 (B1); US6812937 (B1); US6842877 (B2); US2005034078 (A1); US6968333 (B2); US7072886 (B2); US2006277308 (A1); US2007162502 (A1); US2007198485 (A1)","","","","",""
"ENTITY-SPECIFIC SEARCH MODEL","US2008005076 (A1); US7822762 (B2)","2008-01-03","PAYNE CHRISTOPHER D [US];  HORVITZ ERIC J [US];  GOUNARES ALEXANDER G [US];  DUMAIS SUSAN T [US];  PELTONEN KYLE G [US];  FLAKE GARY W [US];  HUANG XUEDONG D [US];  GATES WILLIAM H [US];  PLATT JOHN C [US];  HURST-HILLER OLIVER [US];  GOODMAN JOSHUA T [US];  MEEK CHRISTOPHER A [US];  NAAM RAMEZ [US];  OZZIE RAYMOND E [US];  BRILL ERIC D [US]","MICROSOFT CORP [US]","G06F17/30","G06F16/903; G06F16/9032","US20060427311","20060628","US20060427311 20060628","US6513046 (B1); US6842877 (B2); US5493692 (A); US5603054 (A); US6185558 (B1); US2005034078 (A1); US7181438 (B1); US2008040314 (A1); US5611050 (A); US2002032689 (A1); US2003046401 (A1); US2002044152 (A1); US6549915 (B2); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US6747675 (B1); US2002087525 (A1); US2002099817 (A1); US2007174259 (A1); US5544321 (A); US2003154476 (A1); US5555376 (A); US5812865 (A); US2004193894 (A1); US6791580 (B1); US7107263 (B2); US6466232 (B1); US6801223 (B1); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002169658 (A1); US6812937 (B1); US6968333 (B2); US7181438 (B1); US2004193894 (A1); US2008040314 (A1)","","","","","","","","US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); US5812865 (A); US6185558 (B1); US6466232 (B1); US6513046 (B1); US6549915 (B2); US6747675 (B1); US6791580 (B1); US6801223 (B1); US6812937 (B1); US6842877 (B2); US6968333 (B2); US7107263 (B2); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002032689 (A1); US2002044152 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US2002169658 (A1); US2003046401 (A1); US2003154476 (A1); US2005034078 (A1); US2007174259 (A1); WO9800787 (A1)","","","","",""
"DATA MANAGEMENT IN SOCIAL NETWORKS","US2008005073 (A1); US9141704 (B2)","2008-01-03","MEEK CHRISTOPHER A [US];  HORVITZ ERIC J [US];  GOODMAN JOSHUA T [US];  FLAKE GARY W [US];  HURST-HILLER OLIVER [US];  GUPTA ANOOP [US];  NAAM RAMEZ [US];  MOSS KENNETH A [US];  GATES WILLIAM H [US];  PLATT JOHN C [US];  GRIFFIN TRENHOLME J [US];  BRUNELL BRADLY A [US]","MICROSOFT CORP [US]","G06F17/30","G06F16/9535; G06Q50/01","US20060427291","20060628","US20060427291 20060628","US2005159970 (A1); US2003135499 (A1); US2003171941 (A1); US2002078045 (A1); US2010153832 (A1); WO2006036216 (A2); US6513046 (B1); US6842877 (B2); US2006004703 (A1); US2006004713 (A1); US2007005654 (A1); US2009006413 (A1); US5493692 (A); US5603054 (A); US2005034078 (A1); US2005038856 (A1); US5611050 (A); US2002032689 (A1); US2003046401 (A1); US2004041836 (A1); US6549915 (B2); US2005091202 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002083025 (A1); US2002083158 (A1); US6745178 (B1); US6747675 (B1); US2007136429 (A1); US2002087525 (A1); US2002099817 (A1); US2004148275 (A1); US5544321 (A); US2003154476 (A1); US7409384 (B2); US5555376 (A); US5812865 (A); US6791580 (B1); US6466232 (B1); US6801223 (B1); US2007233672 (A1); US2001040590 (A1); US2001043231 (A1); US6812937 (B1); US2004243580 (A1); US2001030664 (A1); US2001040591 (A1); US2001043232 (A1); US6353398 (B1); US2002035474 (A1); US2002044152 (A1); US2002049644 (A1); US2002049709 (A1); US2002069117 (A1); US2002082930 (A1); US2002138479 (A1); US2002143560 (A1); US2002150050 (A1); US2002194081 (A1); US2002198814 (A1); US2003004802 (A1); US2003013438 (A1); US2003014307 (A1); US2003069877 (A1); US2003125958 (A1); US2003126250 (A1); US2003158796 (A1); US2003216960 (A1); US6672506 (B2); US2004006478 (A1); US2004024846 (A1); US6691106 (B1); US2004030490 (A1); US2004044658 (A1); US2004056905 (A1); US6741188 (B1); USD494584S (S); US6796505 (B2); US2004198386 (A1); US2004201500 (A1); US2004225560 (A1); US2004249559 (A1); US6837436 (B2); US2005004838 (A1); US2005065959 (A1); US2005075932 (A1); US2005091205 (A1); US6934684 (B2); US6935566 (B1); US2005251440 (A1); US6965868 (B1); US2005257240 (A1); US6968333 (B2); US2005266858 (A1); US2005267816 (A1); US2005272442 (A1); US2005289113 (A1); US6745178 (B1); US2002078045 (A1); US2003135499 (A1); US2003171941 (A1); US2004041836 (A1); US2004148275 (A1); US2004243580 (A1); US2005038856 (A1); US2005091202 (A1); US2005159970 (A1); US2006004703 (A1); US2006004713 (A1); US2007233672 (A1); US2009006413 (A1); US2010153832 (A1); EP1288795 (A1); WO2006036216 (A2)","","","","","","","","US5493692 (A); US5544321 (A); US5555376 (A); US5603054 (A); US5611050 (A); US5812865 (A); US6353398 (B1); US6466232 (B1); US6513046 (B1); US6549915 (B2); US6672506 (B2); US6691106 (B1); US6741188 (B1); US6747675 (B1); USD494584S (S); US6791580 (B1); US6796505 (B2); US6801223 (B1); US6812937 (B1); US6837436 (B2); US6842877 (B2); US6934684 (B2); US6935566 (B1); US6965868 (B1); US6968333 (B2); US7010501 (B1); US7040541 (B2); US7063263 (B2); US7103470 (B2); US7171378 (B2); US7195157 (B2); US7385501 (B2); US7409384 (B2); US7480712 (B2); US7516010 (B1); US7525450 (B2); US7529639 (B2); US7693752 (B2); US7702536 (B1); US2001030664 (A1); US2001040590 (A1); US2001040591 (A1); US2001043231 (A1); US2001043232 (A1); US2002032689 (A1); US2002035474 (A1); US2002044152 (A1); US2002049644 (A1); US2002049709 (A1); US2002052930 (A1); US2002052963 (A1); US2002054130 (A1); US2002054174 (A1); US2002069117 (A1); US2002078204 (A1); US2002080155 (A1); US2002080156 (A1); US2002082930 (A1); US2002083025 (A1); US2002083158 (A1); US2002087525 (A1); US2002099817 (A1); US2002138479 (A1); US2002143560 (A1); US2002150050 (A1); US2002194081 (A1); US2002198814 (A1); US2003004802 (A1); US2003013438 (A1); US2003014307 (A1); US2003046401 (A1); US2003069877 (A1); US2003125958 (A1); US2003126250 (A1); US2003154476 (A1); US2003158796 (A1); US2003216960 (A1); US2004006478 (A1); US2004024846 (A1); US2004030490 (A1); US2004044658 (A1); US2004056905 (A1); US2004198386 (A1); US2004201500 (A1); US2004225560 (A1); US2004249559 (A1); US2005004838 (A1); US2005034078 (A1); US2005065959 (A1); US2005075932 (A1); US2005091205 (A1); US2005251440 (A1); US2005257240 (A1); US2005266858 (A1); US2005267816 (A1); US2005272442 (A1); US2005273351 (A1); US2005278443 (A1); US2005289113 (A1)","","","","",""
